Ticker,EPS Estimate,EPS Actual,GICS_SECTOR_NAME,,
5108 JT Equity,335.7414286,339.04,Consumer Discretionary,,
5110 JT Equity,205.6,157.69,Consumer Discretionary,,
5201 JT Equity,158.304169,205.15,Industrials,,
5214 JT Equity,63.20545549,49.95,Information Technology,,
522 HK Equity,3.385294118,3.61,Information Technology,,
5233 JT Equity,267.710004,296.3,Materials,,
5332 JT Equity,202.9066667,212.03,Industrials,,
5333 JT Equity,159.2875,163.28,Industrials,,
5334 JT Equity,165.0978571,141.6,Consumer Discretionary,,
5401 JT Equity,160.2729412,158.71,Materials,,
5406 JT Equity,-50.70666742,-59.3,Materials,,
5411 JT Equity,50.31357143,58.36,Materials,,
5463 JT Equity,147.992,133.71,Materials,,
5486 JT Equity,159.0635714,161.5,Materials,,
551 HK Equity,0.29,0.3247,Consumer Discretionary,,
5711 JT Equity,414.4400062,468,Materials,,
5713 JT Equity,13.74454545,-1.12,Materials,,
5802 JT Equity,119.205,114.73,Consumer Discretionary,,
5901 JT Equity,43.37,49.43,Materials,,
5938 JT Equity,-48.34,-89.33,Industrials,,
5947 JT Equity,449.2628571,436.71,Consumer Discretionary,,
6 HK Equity,3.568888889,3.01,Utilities,,
6098 JT Equity,39.36545455,38.09333333,Industrials,,
6113 JT Equity,73.07,74.56,Industrials,,
6146 JT Equity,614.836875,646.09,Information Technology,,
6178 JT Equity,92.41071429,97.26,Financials,,
6201 JT Equity,614.6670588,618.34,Consumer Discretionary,,
6268 JT Equity,138.4436364,142.37,Industrials,,
6273 JT Equity,1524.211429,1371.34,Industrials,,
6301 JT Equity,143.7788889,145.8,Industrials,,
6302 JT Equity,216.2111143,270.3,Industrials,,
6305 JT Equity,41.968,41.41,Industrials,,
6326 JT Equity,101.139375,106.58,Industrials,,
6367 JT Equity,454.0529412,469.23,Industrials,,
6370 JT Equity,111.88,108.24,Industrials,,
6383 JT Equity,117.9766667,118.72,Industrials,,
6417 JT Equity,124.0733333,126.78,Consumer Discretionary,,
6448 JT Equity,108.3533333,158.83,Information Technology,,
6460 JT Equity,29.50166667,22.9,Consumer Discretionary,,
6465 JT Equity,271.59375,295.95,Industrials,,
6471 JT Equity,120.0981818,121.38,Industrials,,
6473 JT Equity,149.2414286,141.91,Industrials,,
6479 JT Equity,100.8,97.26,Industrials,,
6481 JT Equity,154.4766667,107.24,Industrials,,
6501 JT Equity,51.17375,35.65,Information Technology,,
6502 JT Equity,-104.9166667,-108.64,Industrials,,
6503 JT Equity,101.484375,106.43,Industrials,,
6504 JT Equity,39.83625,42.9,Industrials,,
6506 JT Equity,89.63176471,84.71,Information Technology,,
6586 JT Equity,158.824375,153.3,Industrials,,
659 HK Equity,1.11,1.3,Industrials,,
6592 JT Equity,233.007,300.7,Industrials,,
6594 JT Equity,317.9285714,303.04,Industrials,,
66 HK Equity,1.57125,1.74,Industrials,,
6645 JT Equity,217.1683333,218.95,Information Technology,,
669 HK Equity,0.215,0.2232,Consumer Discretionary,,
6701 JT Equity,258.2380038,292.2,Information Technology,,
6702 JT Equity,41.98384615,41.94,Information Technology,,
6723 JT Equity,23.98272727,51.76,Information Technology,,
6724 JT Equity,172.9185714,127.94,Information Technology,,
6752 JT Equity,77.98058824,71.3,Consumer Discretionary,,
6753 JT Equity,-707.0628677,-1546.4,Consumer Discretionary,,
6758 JT Equity,122.4464,119.4,Consumer Discretionary,,
6762 JT Equity,524.6158824,514.23,Information Technology,,
6770 JT Equity,217.210625,206.64,Information Technology,,
6806 JT Equity,603.4942857,596.31,Information Technology,,
6823 HK Equity,0.61,0.6462,Telecommunication Services,,
6841 JT Equity,110.80875,114.01,Information Technology,,
6861 JT Equity,1134.572,1131.01,Information Technology,,
6869 JT Equity,167.5166667,189.08,Health Care,,
69 HK Equity,0.023,0.0297,Consumer Discretionary,,
6902 JT Equity,321.088,307.19,Consumer Discretionary,,
6923 JT Equity,155.03,152.88,Consumer Discretionary,,
6952 JT Equity,133.956,119.72,Consumer Discretionary,,
6954 JT Equity,793.195,816.78,Industrials,,
6963 JT Equity,282.9753846,241.91,Information Technology,,
6965 JT Equity,94.81666667,90.23,Information Technology,,
6971 JT Equity,241.3388235,297.24,Information Technology,,
6981 JT Equity,986.113,962.55,Information Technology,,
6988 JT Equity,509.098,495.23,Materials,,
7011 JT Equity,288.8900043,190.2,Industrials,,
7012 JT Equity,271.5826707,275.6,Industrials,,
7013 JT Equity,-150.1275022,9.9,Industrials,,
7167 JT Equity,59.94,67.37,Financials,,
7180 JT Equity,316.5,316.7,Financials,,
7201 JT Equity,133.3463636,125,Consumer Discretionary,,
